anzsic06,Area,year,geo_count,ec_count
A,A100100,2021,90,200
A,A100200,2021,141,210
A,A100300,2021,6,25
A,A100400,2021,54,65
A,A100500,2021,63,95
A,A100600,2021,15,45
A,A100700,2021,12,35
A,A100800,2021,24,95
A,A100900,2021,51,21
A,A101000,2021,45,25
A,A101100,2021,12,15
A,A101200,2021,72,18
A,A101300,2021,78,6
A,A101400,2021,48,30
A,A101500,2021,51,9
A,A101600,2021,39,18
A,A101700,2021,54,30
A,A101800,2021,48,30
A,A101900,2021,42,30
A,A102000,2021,81,40
A,A102100,2021,42,18
A,A102200,2021,84,210
A,A102300,2021,75,35
A,A102400,2021,36,25
A,A102500,2021,33,90
A,A102600,2021,84,190
A,A102700,2021,42,35
A,A102800,2021,15,18
A,A102900,2021,42,3
A,A103000,2021,21,12
A,A103100,2021,51,100
A,A103200,2021,75,55
A,A103300,2021,57,30
A,A103400,2021,60,55
A,A103500,2021,18,50
A,A103600,2021,54,15
A,A103700,2021,9,15
A,A103800,2021,6,9
A,A103900,2021,0,0
A,A104000,2021,33,50
A,A104100,2021,57,21
A,A104200,2021,6,15
A,A104300,2021,9,6
A,A104400,2021,12,3
A,A104500,2021,3,3
A,A104600,2021,9,3
A,A104700,2021,81,65
A,A104800,2021,189,170
A,A104900,2021,144,100
A,A105100,2021,120,95
A,A105200,2021,3,0
A,A105300,2021,75,85
A,A105400,2021,315,300
A,A105500,2021,9,0
A,A105600,2021,33,35
A,A105700,2021,36,9
A,A105800,2021,0,0
A,A105900,2021,6,0
A,A106000,2021,3,3
A,A106100,2021,6,0
A,A106200,2021,0,0
A,A106300,2021,39,60
A,A106500,2021,3,12
A,A106600,2021,30,30
A,A106700,2021,42,15
A,A106800,2021,3,0
A,A106900,2021,9,6
A,A107000,2021,6,0
A,A107100,2021,45,85
A,A107200,2021,6,0
A,A107300,2021,3,0
A,A107400,2021,3,0
A,A107500,2021,6,6
A,A107600,2021,6,0
A,A107700,2021,27,75
A,A107800,2021,174,120
A,A107900,2021,9,150
A,A108000,2021,69,45
A,A108100,2021,6,0
A,A108200,2021,6,0
A,A108300,2021,6,70
A,A108500,2021,33,45
A,A108600,2021,126,95
A,A108700,2021,9,3
A,A108800,2021,15,0
A,A108900,2021,21,30
A,A109000,2021,78,25
A,A109100,2021,318,470
A,A109200,2021,240,350
A,A109300,2021,48,230
A,A109400,2021,252,210
A,A109500,2021,132,85
A,A109600,2021,24,9
A,A109700,2021,102,130
A,A109800,2021,78,45
A,A109900,2021,3,0
A,A110100,2021,3,3
A,A110200,2021,117,70
A,A110400,2021,237,160
A,A110500,2021,15,6
A,A110700,2021,126,240
A,A110800,2021,120,50
A,A110900,2021,48,30
A,A111100,2021,15,9
A,A111200,2021,126,170
A,A111300,2021,21,9
A,A111400,2021,27,25
A,A111500,2021,51,130
A,A111600,2021,75,18
A,A111700,2021,6,0
A,A111800,2021,6,9
A,A111900,2021,15,0
A,A112100,2021,51,21
A,A112200,2021,3,0
